Modell,Anhaenge oder Stehende,Geschwindigkeit,Funktion,Farbe,Preis
WareSRKQC25DSAG,Anh?nge,bestimmt,Kalt&Warm,Gold,4180
WareSRKQC35DSAW,Anh?nge,bestimmt,Kalt&Warm,Weiss,4480
WareSRKQC35DSAG,Anh?nge,bestimmt,Kalt&Warm,Gold,4480
WareSRKAH50C1SA,Anh?nge,bestimmt,Kalt,Gold,5380
WareSRKAH50H1SA,Anh?nge,bestimmt,Kalt&Warm,Gold,5480
WareSRKMB35HVBS,Stehend,wechsel,Kalt&Warm,Rot,5380
WareSRFLB72H1VBG,Anh?nge,wechsel,Kalt&Warm,Gold,10500
WareSRFLB72H1VBW,Anh?nge,wechsel,Kalt&Warm,Gold,12500
WareSRKEKB35HVB,Anh?nge,wechsel,Kalt&Warm,Weiss,4680
WareSRKMC35H2VB,Anh?nge,wechsel,Kalt&Warm,Gold,4880
WareSRFLC72DSAG,Anh?nge,wechsel,Kalt&Warm,Gold,12500
WareSRFLC72DSAW,Anh?nge,wechsel,Kalt&Warm,Gold,9500
